RegionName,OneBdrm,TwoBdrm,ThreeBdrm,FourBdrm,FiveBdrm,Average
San Diego,"364,616","533,574","696,848","836,012","1,178,382",688174
Chula Vista,"267,140","403,048","534,250","642,296","748,105",578008
Oceanside,"419,723","392,801","562,183","632,586","731,740",575422
Escondido,"252,540","402,850","540,042","674,917","805,199",563416
El Cajon,"247,560","353,358","533,140","685,947","823,520",556666
Vista,"371,746","450,671","564,241","658,980","804,954",573592
Carlsbad,"428,099","592,919","833,109","1,056,971","1,306,063",917103
San Marcos,"308,065","447,542","575,486","695,710","884,979",619046
Spring Valley,"296,615","374,551","510,271","578,772","680,188",526259
La Mesa,"275,860","445,090","610,610","708,392","841,284",611447
Encinitas,"699,587","794,447","1,098,469","1,349,583","1,964,034",1200156
National City,"276,219","404,882","479,874","520,605","575,996",471236
Santee,"278,950","364,777","548,007","602,357","709,184",559564
Poway,"448,041","497,805","670,878","850,339","1,199,880",778006
Fallbrook,"392,874","453,806","579,987","699,001","840,431",602087
Lakeside,"219,189","375,012","549,265","617,405","713,178",553911
Ramona,"373,161","395,830","540,422","633,325","750,756",565289
Imperial Beach,"315,814","556,091","654,962","683,844","764,881",643561
Lemon Grove,"342,251","442,150","512,110","558,852","612,354",514252
Coronado,"1,312,734","1,580,390","1,909,234","2,323,515","3,239,332",1897066
Valley Center,"362,631","478,828","592,033","727,666","841,243",627667
Alpine,"320,414","406,853","613,108","760,176","859,417",669622
Bonita,"272,213","398,499","656,280","751,767","837,993",725473
Solana Beach,"676,324","1,075,718","1,460,412","1,873,621","2,099,314",1465833
Jamul,"359,284","449,468","629,858","805,395","958,235",707198
Rancho Santa Fe,"568,245","1,001,017","1,818,630","2,457,423","3,348,597",2554084
Bonsall,"297,428","402,710","626,531","889,942","1,147,002",652510
Descanso,"339,834","397,571","477,958","554,931","653,081",448896
Campo,"289,287","301,924","340,346","364,698","511,647",337727
Del Mar,"1,153,939","1,507,738","2,548,064","3,220,677","4,084,985",2462845
Dulzura,"382,580","383,272","521,915","667,019","776,430",492868
Julian,"301,086","370,198","465,463","573,520","771,626",390632
Borrego Springs,"176,200","196,695","248,022","386,944","803,866",223953
Pauma Valley,"350,589","461,839","561,615","745,191","895,132",548077
Warner Springs,"276,700","298,771","341,780","516,253",,325487
Pala,"266,194","434,941","636,803","829,962","889,103",675592
Santa Ysabel,"350,380","379,082","526,818","627,540","697,810",472595
Boulevard,,"260,620","319,099","418,842","580,524",290464
Pine Valley,,"309,568","399,167","511,023",,341170
Potrero,"301,791","329,745","429,820","550,596","534,372",352104
Palomar Mountain,"291,134","333,953","430,684","694,011","797,147",316346
